CustomerId,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600000,746,France,Female,72,0,97844.72,2,1,1,48674.43,0
15600001,520,Germany,Male,49,6,68691.75,1,1,0,37904.12,0
15600002,376,Spain,Male,53,6,0.0,1,1,0,67463.99,0
15600003,548,Spain,Female,67,9,0.0,2,1,1,90042.82,0
15600004,721,France,Male,54,8,100135.89,3,0,0,127998.51,0
15600005,736,France,Female,65,6,113917.64,1,1,0,125725.65,0
15600006,663,France,Male,31,7,0.0,1,1,1,130433.56,0
15600007,694,Germany,Male,44,3,154123.31,1,1,0,92791.54,0
15600008,446,Spain,Female,36,8,81222.53,2,1,1,90539.24,0
15600009,837,Spain,Female,48,0,114380.6,1,1,0,137194.13,0
15600010,366,France,Female,63,7,95400.14,1,1,0,53953.83,0
15600011,522,Germany,Male,26,2,177101.35,4,1,0,34635.82,0
15600012,811,Germany,Male,55,0,108620.08,1,1,1,26174.59,0
15600013,450,France,Male,34,1,117786.88,1,1,1,133941.03,0
15600014,535,France,Female,36,5,0.0,2,1,1,65189.38,0
15600015,533,France,Female,61,4,82093.61,1,1,0,82328.05,1
15600016,787,France,Female,21,2,118867.96,1,1,1,123413.11,0
15600017,564,Spain,Female,65,8,80554.92,1,1,1,65377.69,0
15600018,600,France,Male,74,7,109228.01,2,1,1,132173.89,1
15600019,565,France,Male,28,2,0.0,4,1,1,58429.21,0
15600020,378,Spain,Male,39,1,87032.46,2,1,1,113871.6,0
15600021,451,France,Female,21,7,93734.29,1,0,1,105094.94,0
15600022,472,France,Male,34,4,102449.17,1,1,0,42181.72,0
15600023,403,France,Male,25,8,107192.37,2,1,0,31807.2,0
15600024,632,France,Male,63,0,114875.03,2,0,1,30059.88,0
15600025,451,Germany,Male,51,9,146595.14,2,1,0,102873.37,1
15600026,466,France,Female,28,2,94533.25,2,1,0,16747.41,0
15600027,453,Spain,Female,48,4,0.0,4,1,0,104191.02,1
15600028,394,Spain,Male,28,1,0.0,1,1,1,120565.38,0
15600029,463,France,Female,73,2,89079.45,1,1,1,55838.88,0
15600030,692,Spain,Female,71,3,0.0,2,0,0,115669.57,0
15600031,380,France,Male,73,3,0.0,1,1,1,37327.15,0
15600032,513,France,Male,55,10,0.0,1,1,1,144666.28,1
15600033,814,Germany,Male,70,8,160562.65,2,1,1,46328.94,0
15600034,538,Germany,Female,38,0,187447.23,1,0,0,80929.28,1
15600035,642,Germany,Female,63,8,66131.94,1,0,1,147367.0,0
15600036,544,France,Male,47,8,82160.09,3,0,0,137463.63,1
15600037,641,France,Male,27,10,0.0,1,0,0,104027.8,0
15600038,724,Spain,Male,43,5,93155.42,1,1,0,64841.02,0
15600039,610,France,Male,44,10,0.0,1,0,0,109511.93,0
15600040,779,France,Male,25,0,98065.39,2,1,1,77136.93,0
15600041,556,France,Male,56,10,0.0,1,1,1,29693.39,0
15600042,401,France,Female,25,5,0.0,2,0,0,122456.99,0
15600043,398,Germany,Male,25,7,191741.14,1,1,0,132667.56,1
15600044,355,France,Male,72,4,0.0,1,0,0,70026.94,0
15600045,728,Spain,Male,51,4,101660.16,2,0,0,104873.05,0
15600046,743,France,Male,33,0,0.0,1,1,0,19098.96,0
15600047,723,Spain,Male,58,0,0.0,1,0,0,41628.77,0
15600048,573,Spain,Female,30,7,0.0,2,1,0,91985.63,0
15600049,372,France,Male,40,4,107398.98,1,0,1,52001.15,0
15600050,845,Germany,Female,29,7,104487.72,3,1,0,142489.08,1
15600051,494,Germany,Male,44,9,83674.2,1,1,1,128000.96,0
15600052,459,Germany,Female,39,1,192240.3,2,0,0,103425.84,0
15600053,561,Germany,Female,49,3,166025.42,2,1,1,149843.37,0
15600054,649,Spain,Female,74,10,0.0,1,0,0,47838.47,0
15600055,390,Germany,Male,66,9,88432.54,1,0,0,139082.15,1
15600056,748,France,Female,44,8,0.0,1,1,0,56117.41,0
15600057,521,France,Female,19,2,0.0,4,1,1,95540.29,0
15600058,843,France,Male,62,5,103871.46,2,0,1,73639.57,0
15600059,535,France,Female,50,10,82248.0,1,1,1,74833.97,1
15600060,563,France,Male,43,6,114302.34,1,1,0,117938.85,0
15600061,655,France,Male,45,2,112283.44,1,1,0,61918.36,0
15600062,401,Germany,Male,36,0,51149.13,2,1,1,83516.33,0
15600063,419,France,Female,60,1,81952.16,3,1,1,43581.34,0
15600064,545,France,Male,22,10,110144.56,1,1,0,118068.66,0
15600065,796,Spain,Female,50,9,94781.8,2,1,0,89510.76,0
15600066,791,France,Male,37,6,0.0,1,1,1,49433.59,0
15600067,500,Germany,Female,47,6,55903.91,2,1,1,50901.24,0
15600068,777,France,Male,62,0,0.0,1,1,0,54627.47,0
15600069,458,Germany,Female,25,9,160242.97,2,0,0,109404.41,0
15600070,816,Germany,Male,55,6,88003.82,3,1,0,95337.42,1
15600071,467,France,Male,34,9,0.0,2,1,1,126003.16,0
15600072,714,France,Male,61,10,109867.05,3,1,1,92156.54,0
15600073,444,Germany,Female,18,5,64087.98,1,1,1,56398.21,0
15600074,605,Spain,Male,20,10,104367.13,3,1,1,144987.48,0
15600075,393,Spain,Male,63,5,98803.14,2,0,1,134624.07,0
15600076,785,Germany,Male,43,6,54510.83,1,1,0,52640.89,1
15600077,416,France,Female,48,6,0.0,1,0,0,138213.55,0
15600078,505,France,Male,25,0,94182.62,3,1,0,112216.79,0
15600079,672,France,Female,60,9,106607.94,1,1,1,70983.66,0
15600080,555,Germany,Female,63,4,90908.64,1,0,1,78028.37,0
15600081,623,Spain,Female,25,7,0.0,2,0,1,75261.51,0
15600082,504,France,Male,52,7,0.0,1,0,1,122576.57,0
15600083,528,France,Female,56,2,88421.64,2,1,0,38693.07,0
15600084,409,France,Female,45,2,0.0,1,0,0,22920.17,1
15600085,423,France,Male,68,6,114637.46,1,0,1,82291.82,1
15600086,398,Spain,Male,21,3,92813.12,2,1,0,54205.29,1
15600087,620,Spain,Female,74,5,101908.49,2,1,1,91129.78,0
15600088,816,Germany,Male,33,8,108941.74,2,1,0,147056.31,0
15600089,422,France,Female,30,9,0.0,2,1,0,105646.1,0
15600090,545,France,Female,37,1,0.0,1,0,0,144494.47,0
15600091,748,Spain,Female,68,1,109588.68,2,0,1,113827.39,0
15600092,528,Germany,Male,22,5,148270.47,2,1,0,25248.53,1
15600093,397,Spain,Female,72,2,100803.73,3,1,0,135055.62,1
15600094,421,Germany,Female,54,0,198671.42,2,1,0,41854.15,1
15600095,462,France,Female,37,1,84312.86,2,1,0,131746.56,0
15600096,594,Spain,Male,41,6,91960.35,1,1,1,116126.26,0
15600097,734,France,Female,53,3,88460.89,2,0,1,128213.37,0
15600098,740,France,Female,51,1,0.0,2,1,1,49233.36,0
15600099,658,France,Female,62,10,96392.5,1,1,0,123998.57,1
15600100,508,France,Female,65,7,115064.22,2,1,1,97397.53,0
15600101,623,Spain,Male,71,3,0.0,2,1,0,26052.86,1
15600102,617,France,Male,51,3,0.0,1,0,0,135032.81,0
15600103,653,Spain,Female,36,1,88628.3,2,1,1,133369.52,0
15600104,379,Germany,Female,34,0,184569.99,1,1,0,92218.8,1
15600105,446,France,Female,22,0,92718.08,2,1,1,76104.28,0
15600106,600,France,Female,42,2,0.0,1,1,1,69073.85,0
15600107,844,Germany,Female,35,5,92871.04,1,1,0,96369.53,1
15600108,356,France,Male,72,6,89996.95,1,1,1,128628.26,0
15600109,441,France,Male,70,8,92540.81,1,1,1,91400.23,0
15600110,462,France,Male,67,4,101156.37,1,1,0,32503.0,0
15600111,608,France,Male,25,8,91144.23,2,1,0,56332.84,0
15600112,456,Germany,Male,44,7,111147.07,1,1,0,105213.32,1
15600113,412,Germany,Male,32,0,165672.05,2,1,1,102321.34,0
15600114,739,Spain,Female,62,10,0.0,2,1,1,85051.25,0
15600115,828,Germany,Male,30,2,188906.42,3,1,1,47464.52,0
15600116,707,Germany,Male,33,7,125482.71,1,0,0,51528.26,1
15600117,620,France,Male,39,8,0.0,1,0,1,80373.7,0
15600118,548,Germany,Male,37,3,195735.87,2,1,1,68256.99,0
15600119,776,Spain,Female,30,5,0.0,2,1,0,57651.48,0
15600120,827,Germany,Female,37,3,84676.23,1,1,1,126976.85,1
15600121,696,Germany,Male,19,8,76655.12,1,1,0,83042.53,0
15600122,686,France,Female,52,1,0.0,1,0,1,82914.28,0
15600123,495,France,Male,64,5,113579.1,1,0,1,72787.55,0
15600124,755,France,Male,72,10,0.0,1,1,1,106921.88,0
15600125,410,France,Male,36,2,106954.67,2,1,1,38712.71,0
15600126,469,Germany,Male,62,9,132020.92,2,1,1,142384.39,0
15600127,410,Germany,Female,54,3,97608.44,3,1,1,29122.71,0
15600128,658,France,Female,71,1,0.0,1,0,1,110890.47,0
15600129,375,Spain,Male,23,10,92976.08,2,1,0,110080.86,0
15600130,464,France,Male,31,7,0.0,1,1,1,30381.6,0
15600131,824,France,Male,21,9,93077.09,1,1,1,149060.77,0
15600132,389,France,Female,39,7,0.0,2,1,0,19632.37,0
